DATE,p_saving_rate,target,mortgage_rate,IPI_Cement,PPI_Cement,permit,PPI_Concrete,population,new_private_house,emratio,income,new_private_hw_under,GDP,home_ow_rate,house_st,total_emp_cons,labor_percent,all_Const_Emp,monthly_supply,unemployed_rate,MSPUS
1987-01-01,9.4,63.735,9.204,123.7373,100.1,1690.0,4.703203926259457,241857.0,7974.739004082003,61.0,3820.2,1090.0,4722.156,63.9,1774.0,5007.0,65.4,722.3,6.0,6.6,97900.0
1987-02-01,8.2,64.135,9.0825,123.167,100.8,1689.0,4.703203926259457,242005.0,7502.24430451593,61.1,3845.0,1096.0,4722.156,63.9,1784.0,5038.0,65.5,724.2,6.2,6.6,97900.0
1987-03-01,8.1,64.47,9.035,122.5706,101.2,1704.0,4.703203926259457,242166.0,7106.570176444392,61.2,3863.8,1084.0,4722.156,63.9,1726.0,5039.0,65.5,727.9,6.0,6.6,97900.0
1987-04-01,4.1,64.973,9.8325,123.5345,100.8,1601.0,4.703203926259457,242338.0,7316.773819285743,61.3,3875.4,1079.0,4806.16,63.9,1614.0,5053.0,65.4,728.1,6.0,6.3,103400.0
1987-05-01,7.8,65.547,10.596,123.8454,101.2,1500.0,4.697749367281185,242516.0,7203.8445013151595,61.6,3908.6,1070.0,4806.16,63.9,1628.0,5080.0,65.7,727.6,6.7,6.3,103400.0
1987-06-01,7.3,66.218,10.5375,123.3012,101.2,1522.0,4.697749367281185,242706.0,6806.040808835118,61.4,3919.7,1060.0,4806.16,63.9,1594.0,5086.0,65.5,728.5,6.9,6.2,103400.0
1987-07-01,7.1,66.786,10.278,127.3025,101.1,1516.0,4.697749367281185,242908.0,7060.576161749268,61.6,3942.1,1051.0,4884.555,64.1,1575.0,5092.0,65.6,732.1,6.7,6.1,106000.0
1987-08-01,6.8,67.27,10.33,122.6327,101.1,1511.0,4.697749367281185,243118.0,6750.269996902134,61.8,3978.6,1045.0,4884.555,64.1,1605.0,5102.0,65.7,729.2,6.8,6.0,106000.0
1987-09-01,7.2,67.624,10.8875,125.4097,101.1,1514.0,4.697749367281185,243335.0,6563.287443070124,61.6,3995.6,1048.0,4884.555,64.1,1695.0,5096.0,65.5,731.6,6.8,5.9,106000.0
1987-10-01,7.9,67.903,11.26,127.4145,101.0,1447.0,4.697749367281185,243543.0,6512.914618527864,61.8,4034.7,1041.0,5007.994,64.1,1515.0,5142.0,65.7,741.3,6.8,6.0,111500.0
1987-11-01,8.2,68.093,10.65,127.2895,100.9,1457.0,4.697749367281185,243724.0,6517.9487561796805,61.9,4062.1,1042.0,5007.994,64.1,1656.0,5152.0,65.7,742.8,7.0,5.8,111500.0
1987-12-01,8.4,68.344,10.64,124.5768,100.6,1345.0,4.697749367281185,243895.0,6790.822401217446,62.0,4115.7,1018.0,5007.994,64.1,1400.0,5180.0,65.7,743.5,7.6,5.7,111500.0
1988-01-01,7.9,68.583,10.3825,111.7494,100.7,1244.0,4.697749367281185,244056.0,6397.323388707356,62.0,4128.2,1008.0,5073.372,63.8,1271.0,5094.0,65.8,745.0,7.5,5.7,110000.0
1988-02-01,8.4,68.916,9.8925,119.6235,101.5,1438.0,4.697749367281185,244205.0,5879.39229258773,62.1,4153.0,976.0,5073.372,63.8,1473.0,5162.0,65.9,747.0,6.6,5.7,110000.0
1988-03-01,8.0,69.325,9.93,124.8638,101.1,1525.0,4.722063937459591,244362.0,6628.8762162507355,61.9,4178.3,994.0,5073.372,63.8,1532.0,5201.0,65.7,750.1,6.6,5.7,110000.0
1988-04-01,8.7,69.789,10.202,123.2387,101.6,1429.0,4.722063937459591,244528.0,6704.700896116621,62.2,4209.5,999.0,5190.036,63.8,1573.0,5227.0,65.8,754.0,6.4,5.4,110000.0
1988-05-01,8.3,70.40899999999999,10.455,125.8846,102.3,1444.0,4.722063937459591,244708.0,6042.880923028502,62.0,4225.9,987.0,5190.036,63.8,1421.0,5228.0,65.7,751.2,6.6,5.6,110000.0
1988-06-01,8.4,71.068,10.46,126.7927,101.7,1485.0,4.722063937459591,244914.0,6187.213553543342,62.3,4258.9,980.0,5190.036,63.8,1478.0,5261.0,65.8,757.0,6.2,5.4,110000.0
1988-07-01,8.6,71.686,10.432,120.8889,101.5,1439.0,4.72384171570559,245131.0,6262.1076928491875,62.3,4298.8,971.0,5282.835,63.8,1467.0,5270.0,65.9,747.1,6.6,5.4,115000.0
1988-08-01,8.4,72.185,10.5975,119.923,101.4,1460.0,4.718498871295094,245352.0,6382.273799015915,62.4,4323.0,967.0,5282.835,63.8,1493.0,5268.0,66.1,744.5,6.6,5.6,115000.0
1988-09-01,8.8,72.574,10.48,121.2472,100.9,1436.0,4.722953221644475,245579.0,6282.106795983895,62.4,4352.5,958.0,5282.835,63.8,1492.0,5270.0,65.9,740.5,6.5,5.4,115000.0
1988-10-01,8.6,72.822,10.3025,120.9774,100.7,1516.0,4.722953221644475,245789.0,6272.105810023095,62.5,4391.1,953.0,5399.509,63.8,1522.0,5262.0,66.0,732.8,6.0,5.4,113900.0
1988-11-01,8.4,73.065,10.265,121.3659,100.6,1508.0,4.725616339063959,245970.0,5667.585354956334,62.7,4402.5,960.0,5399.509,63.8,1569.0,5273.0,66.2,731.7,7.2,5.3,113900.0
1988-12-01,8.3,73.279,10.612,127.0205,100.6,1501.0,4.725616339063959,246140.0,6362.217610583684,62.6,4438.6,955.0,5399.509,63.8,1563.0,5277.0,66.1,730.4,6.8,5.3,113900.0
1989-01-01,8.5,73.617,10.73,132.6783,100.7,1466.0,4.725616339063959,246301.0,6432.46386776808,62.9,4501.5,955.0,5511.253,64.0,1621.0,5289.0,66.5,734.9,6.2,5.4,118000.0
1989-02-01,8.9,73.968,10.645,114.8575,100.2,1383.0,4.739701078945697,246454.0,6613.729934691173,62.9,4529.6,947.0,5511.253,64.0,1425.0,5278.0,66.3,721.9,7.5,5.2,118000.0
1989-03-01,9.4,74.41,11.032,115.9009,100.2,1214.0,4.745801315727837,246626.0,5839.8807310064285,62.9,4570.2,940.0,5511.253,64.0,1422.0,5260.0,66.3,707.1,8.2,5.0,118000.0
1989-04-01,8.3,74.868,11.05,119.4545,101.2,1376.0,4.81380905109942,246814.0,6337.163368025255,62.9,4582.5,922.0,5612.463,63.9,1339.0,5295.0,66.4,707.9,7.4,5.2,118900.0
1989-05-01,8.0,75.296,10.7725,118.1679,101.2,1381.0,4.81380905109942,247010.0,5874.450726920138,62.9,4579.4,913.0,5612.463,63.9,1331.0,5299.0,66.3,709.3,7.1,5.2,118900.0
1989-06-01,8.1,75.696,10.196,117.488,101.2,1322.0,4.81380905109942,247228.0,5369.550936354845,63.0,4602.2,913.0,5612.463,63.9,1397.0,5298.0,66.5,706.6,7.2,5.3,118900.0
1989-07-01,8.1,76.042,9.8825,117.972,101.2,1283.0,4.81380905109942,247458.0,5564.656959786289,63.0,4628.5,918.0,5695.365,63.9,1427.0,5317.0,66.5,708.9,6.1,5.2,120000.0
1989-08-01,7.5,76.273,9.985,123.8397,100.9,1334.0,4.81380905109942,247695.0,5775.777011069891,63.1,4639.1,901.0,5695.365,63.9,1332.0,5330.0,66.5,716.6,6.4,5.2,120000.0
1989-09-01,7.9,76.422,10.126,120.7576,101.6,1314.0,4.81380905109942,247942.0,5330.680901622107,62.8,4662.3,895.0,5695.365,63.9,1279.0,5323.0,66.4,710.1,7.1,5.3,120000.0
1989-10-01,8.4,76.48899999999999,9.9475,124.1226,101.7,1365.0,4.81380905109942,248174.0,5306.41298052176,62.9,4703.0,897.0,5747.237,63.7,1410.0,5347.0,66.5,707.5,6.9,5.3,124800.0
1989-11-01,8.5,76.52199999999999,9.7675,125.519,101.6,1344.0,4.81380905109942,248380.0,6003.173333110242,63.0,4718.1,882.0,5747.237,63.7,1351.0,5364.0,66.6,708.1,6.6,5.4,124800.0
1989-12-01,7.7,76.498,9.744,114.9318,101.7,1422.0,4.81380905109942,248569.0,5166.054407471922,63.0,4735.7,885.0,5747.237,63.7,1251.0,5309.0,66.5,705.7,7.0,5.4,124800.0
1990-01-01,7.9,76.527,9.895,138.1363,101.7,1748.0,4.81380905109942,248743.0,6167.269223498003,63.2,4783.8,891.0,5872.701,64.1,1551.0,5422.0,66.8,710.3,7.0,5.4,123900.0
1990-02-01,8.5,76.587,10.1975,134.7538,101.7,1329.0,4.81380905109942,248920.0,5398.736746632142,63.2,4819.8,898.0,5872.701,64.1,1437.0,5416.0,66.7,707.3,7.6,5.3,123900.0
1990-03-01,8.3,76.79,10.268,132.5115,102.0,1246.0,4.81380905109942,249146.0,5364.68940457512,63.2,4842.7,885.0,5872.701,64.1,1289.0,5392.0,66.7,703.0,7.8,5.2,123900.0
1990-04-01,8.7,77.038,10.37,127.1853,102.5,1136.0,4.81380905109942,249436.0,5301.5617890131025,63.0,4883.8,872.0,5960.028,63.9,1248.0,5355.0,66.6,692.5,8.3,5.4,126800.0
1990-05-01,8.7,77.297,10.4775,123.8842,102.5,1067.0,4.81380905109942,249707.0,5393.870468683166,63.1,4889.5,858.0,5960.028,63.9,1212.0,5321.0,66.6,688.6,8.2,5.4,126800.0
1990-06-01,8.6,77.505,10.164,123.1067,102.4,1108.0,4.81380905109942,249990.0,4968.784544036006,62.9,4919.3,846.0,5960.028,63.9,1177.0,5303.0,66.4,681.4,7.9,5.2,126800.0
1990-07-01,8.7,77.561,10.035,122.3559,102.7,1078.0,4.81380905109942,250285.0,5122.633155397306,62.8,4948.2,831.0,6015.116,63.9,1171.0,5274.0,66.5,673.9,7.8,5.5,117000.0
1990-08-01,8.1,77.479,10.1,119.6385,102.8,1069.0,4.81380905109942,250595.0,5180.542791769917,62.7,4949.9,813.0,6015.116,63.9,1115.0,5234.0,66.5,663.3,8.2,5.7,117000.0
1990-09-01,8.1,77.229,10.175,118.6876,103.5,976.0,4.837867950107113,250904.0,5204.7063034909825,62.5,4978.6,793.0,6015.116,63.9,1110.0,5197.0,66.4,656.8,8.4,5.9,117000.0
1990-10-01,7.9,76.91199999999999,10.1775,113.6963,103.6,925.0,4.837867950107113,251201.0,5060.030409275478,62.5,4966.5,766.0,6004.733,64.0,1014.0,5134.0,66.4,646.3,8.7,5.9,121500.0
1990-11-01,8.0,76.381,10.014,116.5566,103.7,941.0,4.864452783918174,251486.0,4896.960449214206,62.3,4973.5,758.0,6004.733,64.0,1145.0,5095.0,66.4,633.8,8.2,6.2,121500.0
1990-12-01,8.8,75.972,9.6725,108.5216,103.8,861.0,4.864452783918174,251758.0,4540.712402811671,62.2,5004.1,745.0,6004.733,64.0,969.0,5047.0,66.4,624.3,8.5,6.3,121500.0
1991-01-01,9.4,75.533,9.6375,101.5934,105.0,786.0,4.864452783918174,252012.0,4427.749253234126,62.0,4990.4,716.0,6035.178,64.0,798.0,4972.0,66.2,610.0,9.4,6.4,120000.0
1991-02-01,9.0,75.249,9.365,108.6813,105.3,853.0,4.867534450455582,252253.0,4152.260489749903,61.9,4997.1,710.0,6035.178,64.0,965.0,4929.0,66.2,600.3,7.9,6.6,120000.0
1991-03-01,8.1,75.13600000000001,9.5,105.2613,105.8,911.0,4.876722876509988,252507.0,4554.868681058248,61.8,5005.8,678.0,6035.178,64.0,921.0,4881.0,66.3,598.0,7.3,6.8,120000.0
1991-04-01,8.7,75.315,9.4925,104.176,106.3,916.0,4.882044059723269,252778.0,4166.191083177009,62.0,5034.3,670.0,6126.862,64.1,1001.0,4842.0,66.4,587.6,7.3,6.7,119900.0
1991-05-01,8.5,75.768,9.472,104.1175,106.7,991.0,4.882044059723269,253060.0,4059.605527868054,61.6,5055.9,662.0,6126.862,64.1,996.0,4800.0,66.2,584.8,7.0,6.9,119900.0
1991-06-01,9.0,76.253,9.615,105.9744,106.6,964.0,4.882044059723269,253350.0,4166.191083177009,61.7,5090.8,654.0,6126.862,64.1,1036.0,4782.0,66.2,579.9,7.0,6.9,119900.0
1991-07-01,8.4,76.517,9.575,107.988,106.4,973.0,4.882044059723269,253650.0,4087.3624738220133,61.6,5087.0,652.0,6205.937,64.1,1063.0,4752.0,66.1,574.1,7.1,6.8,120000.0
1991-08-01,8.7,76.594,9.244,107.1435,106.2,944.0,4.882044059723269,253966.0,3967.3295501498824,61.5,5108.4,651.0,6205.937,64.1,1049.0,4733.0,66.0,569.3,6.8,6.9,120000.0
1991-09-01,8.9,76.575,9.0075,108.3246,105.4,974.0,4.918520005188451,254280.0,4744.369880291999,61.6,5141.5,633.0,6205.937,64.1,1015.0,4728.0,66.2,568.2,7.4,6.9,120000.0
1991-10-01,9.4,76.29,8.855,108.7024,105.5,991.0,4.900820428089049,254576.0,4087.3624738220133,61.5,5157.7,630.0,6264.54,64.1,1079.0,4698.0,66.1,563.3,6.7,7.0,120000.0
1991-11-01,9.1,76.03,8.712,103.8766,105.0,984.0,4.900820428089049,254841.0,3797.63723414382,61.4,5177.0,636.0,6264.54,64.1,1103.0,4640.0,66.1,558.2,6.2,7.0,120000.0
1991-12-01,9.8,75.844,8.4975,108.3124,104.9,1061.0,4.900820428089049,255089.0,3747.447484542987,61.2,5233.0,633.0,6264.54,64.1,1079.0,4647.0,66.0,554.8,6.2,7.3,120000.0
1992-01-01,9.5,75.7,8.432,111.4657,106.1,1077.0,4.900820428089049,255331.0,4018.034106946112,61.5,5264.8,639.0,6363.102,64.1,1176.0,4667.0,66.3,551.4,5.2,7.3,119500.0
1992-02-01,9.8,75.655,8.7625,110.439,105.8,1146.0,4.900820428089049,255576.0,4189.427366840802,61.3,5303.2,630.0,6363.102,64.1,1250.0,4612.0,66.2,545.6,4.9,7.4,119500.0
1992-03-01,9.7,75.814,8.935,110.438,105.4,1082.0,4.900820428089049,255848.0,4329.329696808732,61.5,5323.8,656.0,6363.102,64.1,1297.0,4621.0,66.4,544.7,6.1,7.4,119500.0
1992-04-01,9.8,76.08,8.8525,113.3044,105.2,1054.0,4.900820428089049,256139.0,4119.788487396,61.6,5357.4,650.0,6470.763,64.1,1099.0,4603.0,66.5,542.6,6.1,7.4,120000.0
1992-05-01,9.8,76.398,8.672,113.5843,105.5,1056.0,4.900820428089049,256437.0,4606.842686152831,61.5,5392.4,650.0,6470.763,64.1,1214.0,4605.0,66.6,542.6,6.0,7.6,120000.0
1992-06-01,10.0,76.602,8.51,112.737,105.4,1057.0,4.900820428089049,256742.0,4616.303886798036,61.5,5424.0,644.0,6470.763,64.1,1145.0,4584.0,66.7,542.7,5.6,7.8,120000.0
1992-07-01,9.5,76.711,8.128,112.1383,105.0,1089.0,4.900820428089049,257063.0,4911.310199493033,61.6,5437.1,629.0,6566.641,64.1,1139.0,4570.0,66.7,546.7,5.3,7.7,120000.0
1992-08-01,9.6,76.732,7.975,111.8263,105.1,1075.0,4.900820428089049,257390.0,4385.520715484812,61.6,5465.1,635.0,6566.641,64.1,1226.0,4581.0,66.6,553.0,5.2,7.6,120000.0
1992-09-01,8.6,76.628,7.9225,112.6484,104.8,1114.0,4.900820428089049,257704.0,4305.955351987111,61.4,5452.8,638.0,6566.641,64.1,1186.0,4584.0,66.5,556.9,5.0,7.6,120000.0
1992-10-01,7.9,76.598,8.088,114.3146,105.4,1132.0,4.900820428089049,258004.0,4380.83315624614,61.3,5444.9,643.0,6680.803,64.3,1244.0,4600.0,66.2,558.0,5.1,7.3,126000.0
1992-11-01,7.9,76.579,8.305,104.542,105.5,1118.0,4.900820428089049,258280.0,4782.435899971304,61.4,5467.4,641.0,6680.803,64.3,1214.0,4606.0,66.3,560.0,5.4,7.4,126000.0
1992-12-01,10.5,76.464,8.206,104.9759,105.4,1176.0,4.900820428089049,258546.0,4663.662156409899,61.4,5676.8,638.0,6680.803,64.3,1227.0,4630.0,66.3,560.2,5.0,7.4,126000.0
1993-01-01,8.5,76.395,7.9925,104.6167,106.2,1177.0,4.900820428089049,258799.0,4362.091949067261,61.4,5534.1,636.0,6729.459,63.9,1210.0,4664.0,66.2,563.4,5.4,7.3,125000.0
1993-02-01,8.8,76.327,7.6825,104.4493,106.8,1148.0,4.900820428089049,259036.0,4839.637215971159,61.4,5568.0,640.0,6729.459,63.9,1210.0,4714.0,66.2,568.1,5.3,7.1,125000.0
1993-03-01,8.8,76.382,7.495,102.9615,107.0,1056.0,4.900820428089049,259283.0,4221.997143844365,61.5,5565.0,633.0,6729.459,63.9,1083.0,4676.0,66.2,570.5,5.4,7.0,125000.0
1993-04-01,8.7,76.66,7.472,104.3104,111.2,1104.0,4.911183215124596,259547.0,4744.369880291999,61.5,5621.8,636.0,6808.939,64.0,1258.0,4690.0,66.1,575.2,4.7,7.1,127000.0
1993-05-01,8.2,77.03,7.465,107.9121,111.7,1112.0,4.92870191133357,259822.0,4249.950137776643,61.7,5637.9,648.0,6808.939,64.0,1260.0,4753.0,66.4,582.4,5.3,7.1,127000.0
1993-06-01,7.7,77.516,7.4175,108.1358,111.9,1130.0,4.92870191133357,260109.0,4635.2367550409335,61.8,5632.9,654.0,6808.939,64.0,1280.0,4760.0,66.5,582.3,5.2,7.0,127000.0
1993-07-01,7.5,77.885,7.206,109.5383,111.6,1174.0,4.92870191133357,260411.0,4152.260489749903,61.8,5660.1,663.0,6882.098,64.0,1254.0,4783.0,66.4,582.9,5.3,6.9,127000.0
1993-08-01,7.6,78.131,7.1125,110.2556,112.6,1230.0,4.92870191133357,260717.0,4973.579496232064,62.0,5682.0,665.0,6882.098,64.0,1300.0,4806.0,66.4,582.8,5.5,6.8,127000.0
1993-09-01,6.8,78.19800000000001,6.915,109.121,112.7,1251.0,4.92870191133357,261015.0,4535.995406406492,61.7,5675.1,677.0,6882.098,64.0,1343.0,4823.0,66.2,586.3,4.9,6.7,127000.0
1993-10-01,6.2,78.172,6.834,109.8777,113.2,1287.0,4.92870191133357,261294.0,4887.398149568198,61.8,5669.1,687.0,7013.738,64.1,1392.0,4868.0,66.3,591.1,5.0,6.8,127000.0
1993-11-01,6.2,78.17,7.155,112.0146,113.4,1357.0,4.92870191133357,261550.0,4834.865770339443,61.9,5694.4,695.0,7013.738,64.1,1376.0,4887.0,66.3,599.3,4.8,6.6,127000.0
1993-12-01,9.0,78.113,7.172,112.6733,113.4,1461.0,4.92870191133357,261796.0,5093.722370106156,62.0,5893.8,703.0,7013.738,64.1,1533.0,4925.0,66.4,607.1,4.5,6.5,127000.0
1994-01-01,7.0,78.19800000000001,7.06,106.0954,113.9,1390.0,4.92870191133357,262021.0,4801.489401795252,62.2,5779.0,709.0,7115.652,64.0,1272.0,4940.0,66.6,614.1,5.9,6.6,130000.0
1994-02-01,6.4,78.204,7.1525,105.0822,114.5,1269.0,4.92870191133357,262237.0,5403.603814010827,62.3,5798.0,716.0,7115.652,64.0,1337.0,4923.0,66.6,609.4,5.0,6.6,130000.0
1994-03-01,6.7,78.34899999999999,7.675,116.9048,115.3,1342.0,4.9279780604152466,262491.0,4940.032331164471,62.1,5829.4,732.0,7115.652,64.0,1564.0,4990.0,66.5,620.4,4.8,6.5,130000.0
1994-04-01,6.3,78.70100000000001,8.316,116.956,117.7,1392.0,4.9279780604152466,262754.0,5505.993786476825,62.3,5890.5,740.0,7246.931,63.9,1465.0,5047.0,66.5,622.1,5.2,6.4,130000.0
1994-05-01,7.5,79.208,8.5975,119.7682,118.4,1396.0,4.9279780604152466,263014.0,5780.703541653443,62.5,5911.1,749.0,7246.931,63.9,1526.0,5084.0,66.6,625.4,5.3,6.1,130000.0
1994-06-01,6.8,79.70100000000001,8.3975,118.8258,119.5,1357.0,4.950885289690482,263294.0,5320.971342334303,62.3,5917.5,757.0,7246.931,63.9,1409.0,5097.0,66.4,627.6,6.2,6.1,130000.0
1994-07-01,6.9,80.063,8.614,117.5506,119.6,1335.0,4.950885289690482,263580.0,5055.220559422455,62.3,5946.4,764.0,7331.075,63.9,1439.0,5125.0,66.4,630.0,6.3,6.1,129700.0
1994-08-01,6.4,80.317,8.5125,119.2109,120.7,1377.0,4.950885289690482,263871.0,5379.2763759746,62.6,5968.7,773.0,7331.075,63.9,1450.0,5139.0,66.6,631.9,6.1,6.0,129700.0
1994-09-01,6.7,80.34,8.64,121.4776,121.0,1412.0,4.950885289690482,264159.0,5701.970010586147,62.7,6001.5,774.0,7331.075,63.9,1474.0,5175.0,66.6,633.2,6.0,5.9,129700.0
1994-10-01,7.0,80.304,8.925,118.9145,121.5,1397.0,4.950885289690482,264430.0,5525.535742327727,62.9,6065.3,775.0,7455.288,64.1,1450.0,5177.0,66.7,634.5,5.6,5.8,132000.0
1994-11-01,6.9,80.17,9.17,123.8681,121.4,1340.0,4.950885289690482,264681.0,5462.070033007569,63.0,6075.4,785.0,7455.288,64.1,1511.0,5210.0,66.7,632.4,6.3,5.6,132000.0
1994-12-01,7.0,80.078,9.198,128.9246,121.3,1396.0,4.950885289690482,264924.0,5564.656959786289,63.1,6108.1,784.0,7455.288,64.1,1455.0,5226.0,66.7,633.1,6.6,5.5,132000.0
1995-01-01,7.3,80.027,9.1475,126.5968,122.5,1282.0,4.950885289690482,265157.0,5746.233719104608,63.0,6148.6,783.0,7522.289,64.4,1407.0,5234.0,66.8,633.2,6.8,5.6,130000.0
1995-02-01,7.7,79.992,8.8275,124.8849,123.2,1254.0,4.950885289690482,265383.0,5117.81264730463,63.1,6173.3,793.0,7522.289,64.4,1316.0,5192.0,66.8,630.1,7.3,5.4,130000.0
1995-03-01,7.4,80.078,8.462,127.4955,123.2,1226.0,4.950885289690482,265625.0,5697.0556266558715,63.1,6200.3,771.0,7522.289,64.4,1249.0,5242.0,66.7,630.4,6.8,5.4,130000.0
1995-04-01,6.8,80.369,8.32,122.7703,128.0,1259.0,4.950885289690482,265877.0,5350.109566870379,63.1,6223.9,761.0,7580.997,64.7,1267.0,5252.0,66.9,629.5,6.7,5.8,133900.0
1995-05-01,7.0,80.691,7.955,119.6881,128.6,1271.0,4.950885289690482,266134.0,5272.471428210642,62.7,6238.3,758.0,7580.997,64.7,1314.0,5220.0,66.5,628.0,6.3,5.6,133900.0
1995-06-01,6.5,81.069,7.566,124.2416,128.5,1305.0,4.958639998977875,266414.0,4868.283650509692,62.7,6267.4,759.0,7580.997,64.7,1281.0,5250.0,66.5,626.1,5.8,5.6,133900.0
1995-07-01,6.9,81.413,7.6075,124.9272,128.8,1354.0,4.958639998977875,266700.0,5398.736746632142,62.8,6296.3,762.0,7683.125,64.8,1461.0,5262.0,66.6,626.0,5.6,5.7,132000.0
1995-08-01,6.6,81.655,7.86,125.634,128.8,1386.0,4.958639998977875,266998.0,4978.375280403672,62.8,6319.0,774.0,7683.125,64.8,1416.0,5286.0,66.6,627.5,6.1,5.7,132000.0
1995-09-01,6.6,81.73899999999999,7.636,126.1997,129.0,1421.0,4.958639998977875,267304.0,5045.603330273512,62.9,6347.7,780.0,7683.125,64.8,1369.0,5324.0,66.6,629.9,6.3,5.6,132000.0
1995-10-01,7.0,81.727,7.475,128.0076,128.8,1400.0,4.958639998977875,267585.0,5316.117757648763,62.9,6373.5,781.0,7772.586,65.1,1369.0,5353.0,66.6,634.2,6.3,5.5,138000.0
1995-11-01,6.4,81.631,7.3775,127.8461,128.8,1430.0,4.958639998977875,267829.0,5437.6953515391915,62.8,6394.0,786.0,7772.586,65.1,1452.0,5358.0,66.5,637.5,6.8,5.6,138000.0
1995-12-01,6.0,81.514,7.2,126.2146,128.5,1442.0,4.958639998977875,268047.0,4668.402760911438,62.7,6417.8,799.0,7772.586,65.1,1431.0,5344.0,66.4,638.6,6.4,5.6,138000.0
1996-01-01,6.5,81.42699999999999,7.03,123.7242,128.5,1387.0,4.958639998977875,268258.0,5643.047835884866,62.7,6453.9,803.0,7868.468,65.3,1467.0,5355.0,66.4,642.0,6.4,5.6,137000.0
1996-02-01,6.6,81.399,7.075,124.1369,129.2,1420.0,4.958639998977875,268480.0,5228.8900187232475,62.9,6517.8,793.0,7868.468,65.3,1491.0,5415.0,66.6,647.0,5.3,5.5,137000.0
